nada-1,10pf-1,10pf-2,nada-2,39pf-1,conect-1,22pf-1,22pf-2,conect-2
20595,23085,22961,23576,19417,18768,21521,20733,19274
20637,23089,22894,23627,19664,18711,21625,20528,19330
20572,23258,22997,23650,19658,18658,21680,20532,19121
20581,23237,22996,23645,19386,18947,21664,20662,19108
20643,23167,22964,23719,18876,18952,21190,20721,18564
20765,23169,23029,23291,18890,18800,21130,20682,18591
20761,23123,23024,23223,19112,18429,21152,20592,18656
20782,23180,23017,23270,19088,18583,21142,20633,18700
20823,23189,22975,23413,19137,18546,20907,20503,19052
20831,23177,23016,23519,18899,18482,20931,20416,19067
20882,23215,23031,23583,18878,18403,21008,20472,19272
20930,23223,23156,23627,18784,18250,21048,20490,19679
20941,23331,23205,23605,18815,18217,21038,20638,19756
20901,23263,23156,23633,19168,17869,21067,20602,19655
20867,23275,23156,23398,19328,17902,21067,20259,19660
20861,23317,22895,23442,19128,18324,20991,20167,19735
20737,23352,22830,23405,19072,18347,21038,20363,19642
20669,23443,22844,23414,19123,17727,20799,20515,19525
20727,23471,22935,23494,19389,17705,20803,20477,19586
20822,23461,22836,23562,19588,17627,20990,20684,19733
20763,23243,22834,23475,19561,17875,21005,20710,19798
20740,23240,22985,23362,19575,17891,21097,20756,19965
20934,23238,22936,23322,19423,18043,21409,20795,20022
20974,23331,22940,23298,18696,18221,21431,20945,19998
20971,23348,22955,23331,18681,18589,21391,20754,19532
20657,23420,22983,23436,18635,19016,21177,20734,19516
20611,23403,22992,23573,18723,19138,21423,20533,18969
20587,23283,22998,23564,19002,19165,21424,20515,18935
20543,23285,22993,23566,19020,19068,21324,20136,19011
20550,23250,23150,23548,19049,19135,21349,20117,19229
20605,23293,22939,23554,18562,19226,21323,20183,19393
20657,23320,22929,23491,18900,19183,21308,20168,19395
20678,23294,22942,23515,18934,19343,21258,20405,19368
20524,23113,23091,23419,19473,19359,21355,20414,19470
20306,23101,23245,23436,19645,19266,21380,20461,19467
20387,22979,23247,23410,19796,18608,21429,20567,19610
20392,22632,23168,23432,19845,18533,21443,20566,19620
20422,22482,23199,23528,19761,18568,21733,20370,19721
20406,22473,23259,23582,19821,18515,21772,20376,19845
20261,22518,23271,23625,19105,18195,21743,20665,19863
20366,22623,23298,23633,18806,17694,21754,20282,19503
20540,22814,23412,23590,18750,17446,21741,20198,19488
20711,22774,23428,23586,18445,17459,21554,20191,19243
20714,22814,23384,23515,17866,17884,21553,20078,19231
20627,22813,23375,23539,17804,18077,21524,19871,18896
20692,22722,23389,23492,17853,18138,21395,19909,19059
20962,22559,23408,23488,17895,17753,21391,20172,19050
20989,22664,23322,23517,18002,17715,21123,20332,19161
21129,22618,23328,23518,18176,18054,21134,20406,19159
21101,22655,23268,23483,18493,18056,21177,20371,19393
21000,22729,23267,23523,18809,18273,21285,20390,19609
21110,22705,23298,23310,18905,18338,21236,20352,19601
21097,22732,23342,23299,18938,18442,21046,20267,19349
21114,22814,23348,23301,19141,18945,20930,20375,19338
21109,22770,23316,23316,19225,18996,21024,20508,19281
20955,22733,23165,23316,19693,19221,20908,20463,19463
20901,22766,23117,23354,19765,19415,21000,20503,19508
20971,22941,23123,23453,19776,19430,21021,20647,19435
21024,23030,23274,23493,19913,19561,21097,20682,19451
20879,23021,23381,23424,19889,19907,20911,20621,19696
20873,23110,23557,23378,19606,19924,20985,20738,19742
20831,23113,23717,23391,19489,19958,20996,20885,19744
20955,23129,23718,23485,19487,19968,21106,20861,19807
20974,23070,23710,23530,19022,20181,21147,20903,19860
20737,23140,23653,23531,18942,20301,21308,20879,19844
20725,23099,23649,23455,18967,20346,21276,20675,20126
20745,23151,23674,23407,19269,20338,21133,20558,20135
20602,23152,23669,23474,19522,20437,21144,20536,20128
20659,23094,23683,23451,19760,20354,21310,20625,20039
20686,22881,23737,23452,19785,20387,21219,20578,20139
20876,22911,23740,23475,20044,20490,21344,20665,20172
20957,23017,23657,23443,20038,20588,21272,20699,20269
20961,23248,23652,23252,19754,20751,21280,20703,20062
20994,23237,23685,23256,19774,20897,21236,20649,20025
21006,23246,23616,23243,19960,20895,20804,20642,19576
